Control ID,Control Objective,Mapped Requirement,Control Owner,Control Type,Frequency,Evidence Source,System of Record,Audit Method,Framework Mapping
CTRL-001,Validate that the Enterprise Technology Policy framework is maintained approved versioned and mapped to standards requirements and controls.,ETP-RQ-0001,Head of Enterprise Architecture,Governance,Annual,Policy repository and approval record,GitHub / SharePoint,Document inspection,FFIEC; OCC; COBIT
CTRL-002,Validate that the EA operating model defines capabilities roles responsibilities decision rights and governance interfaces.,ETP-RQ-0002,Head of Enterprise Architecture,Governance,Annual,EA operating model,GitHub / ServiceNow,Document inspection,TOGAF; FFIEC Management
CTRL-003,Validate that material technology changes receive ARB review before implementation.,ETP-RQ-0003,ARB Chair,Preventive,Per material change,ARB decision record,ServiceNow / GitHub,Sample-based test,FFIEC AIO; OCC Heightened Standards
CTRL-004,Validate that approved standards patterns decisions and evidence are retained in the architecture repository.,ETP-RQ-0004,Enterprise Architecture,Detective,Quarterly,Repository records,ServiceNow EA/APM / GitHub,Repository inspection,TOGAF; COBIT
CTRL-005,Validate that material solutions map to business capabilities services applications and technology services.,ETP-RQ-0005,Enterprise Architecture,Preventive,Per material change,Capability and service mapping,ServiceNow CSDM,Sample-based test,BIAN; TOGAF; CSDM
CTRL-006,Validate that application records include ownership lifecycle state criticality and capability mapping.,ETP-RQ-0006,Application Architecture,Detective,Quarterly,Application portfolio records,ServiceNow APM,Data quality review,FFIEC; COBIT; NIST CSF
CTRL-007,Validate that technology lifecycle risks are identified tracked remediated or governed by approved exceptions.,ETP-RQ-0007,Enterprise Architecture,Detective,Quarterly,Technology lifecycle register,ServiceNow / Archer,Exception and remediation review,NIST CSF; CIS; FFIEC
CTRL-008,Validate that cloud architectures comply with approved landing zone and control patterns.,ETP-RQ-0008,Cloud Architecture,Preventive,Per design review,Cloud design evidence,ServiceNow / Cloud Platform,Architecture review,NIST; CIS; ISO 27001
CTRL-009,Validate that infrastructure and network designs support segmentation resilience scalability and recoverability.,ETP-RQ-0009,Infrastructure Architecture,Preventive,Per design review,Network and infrastructure diagrams,ServiceNow / GitHub,Architecture review,FFIEC AIO; NIST; CIS
CTRL-010,Validate that material changes complete secure-by-design review including threat modeling IAM encryption data and privacy controls.,ETP-RQ-0010,Security Architecture,Preventive,Per material change,Security architecture review,Archer / ServiceNow IRM,Control evidence review,NIST SP 800-53; GLBA
CTRL-011,Validate that APIs and integrations are cataloged owned secured versioned and monitored.,ETP-RQ-0011,Integration Architecture,Detective,Quarterly,API catalog and gateway policy records,API Gateway / ServiceNow,Sample-based test,FFIEC; NIST; OWASP
CTRL-012,Validate that DevSecOps pipeline controls are active for secure code scanning dependency scanning testing secrets and release approvals.,ETP-RQ-0012,Engineering / Security,Automated,Per release,Pipeline logs and scan results,ADO / Jira / GitHub,Pipeline evidence review,NIST; CIS; FFIEC
CTRL-013,Validate that operational resilience architecture includes dependency mapping recovery objectives failover backup and continuity alignment.,ETP-RQ-0013,Architecture / Operations,Preventive,Per material change,Resilience assessment and DR evidence,ServiceNow / Archer,Control evidence review,FFIEC; Federal Reserve; NIST
CTRL-014,Validate that third-party technology receives architecture review before procurement implementation renewal or material expansion.,ETP-RQ-0014,TPRM / Enterprise Architecture,Preventive,Per third-party change,Vendor architecture review,Archer / ServiceNow IRM,Sample-based test,Interagency TPRM; FFIEC
CTRL-015,Validate that AI and emerging technology use cases complete architecture risk model risk data security and operational readiness review before production.,ETP-RQ-0015,EA / AI Governance,Preventive,Per AI use case,AI review and approval record,AI Governance Register / Archer,Control evidence review,NIST AI RMF; Model Risk Management
CTRL-016,Validate that exceptions and waivers have approval authority compensating controls expiration and renewal review.,ETP-RQ-0016,ARB Chair,Detective,Monthly,Exception and waiver register,ServiceNow / Archer,Exception aging review,OCC; COBIT; FFIEC