Control ID,Control Name,Mapped Requirement ID,Control Objective,Control Owner,Control Type,Frequency,Evidence Source,System of Record,Audit Method,Regulatory / Framework Mapping,Status
CTRL-001,Enterprise Technology Policy Approval Control,ETP-RQ-0001,Validate that the Enterprise Technology Policy is approved versioned and maintained as the governing policy authority.,Technology Governance Owner,Governance,Annual,Approved policy and revision history,GitHub / SharePoint / ServiceNow,Document inspection,FFIEC Management; OCC; COBIT,Active
CTRL-002,ARB Material Change Gate Control,ETP-RQ-0002,Validate that material technology changes receive ARB review before implementation.,Head of Enterprise Architecture,Preventive,Per material change,ARB decision record,ServiceNow EA/APM,Sample ARB records against change population,FFIEC AIO; OCC; TOGAF,Active
CTRL-003,Architecture Repository Completeness Control,ETP-RQ-0003,Validate that architecture artifacts standards patterns and decisions are retained in the authoritative repository.,Head of Enterprise Architecture,Detective,Quarterly,Repository inventory,ServiceNow EA/APM / GitHub,Repository completeness review,TOGAF; ISO 42010; COBIT,Active
CTRL-004,Governance Object Schema Control,ETP-RQ-0004,Validate that governance objects use the canonical metadata schema.,Head of Enterprise Architecture,Preventive,Quarterly,Schema validation results,GitHub / ServiceNow,Schema inspection and sample testing,COBIT; NIST CSF; TOGAF,Active
CTRL-005,Document Register Control,ETP-RQ-0005,Validate that controlled policy and standard artifacts are listed in the Master Document Register.,Technology Governance Owner,Detective,Quarterly,Master Document Register,GitHub / SharePoint,Register reconciliation,FFIEC Management; COBIT,Active
CTRL-006,Requirements Register Control,ETP-RQ-0006,Validate that mandatory technology policy requirements are uniquely identified owned and mapped.,Technology Governance Owner,Detective,Quarterly,Master Requirements Register,GitHub / ServiceNow,Register completeness test,COBIT; NIST CSF,Active
CTRL-007,Control Register Control,ETP-RQ-0007,Validate that policy requirements are mapped to control objectives owners evidence and audit method.,Technology Risk Owner,Detective,Quarterly,Master Control Register,Archer / ServiceNow IRM,Control mapping inspection,FFIEC Management; NIST 800-53; COBIT,Active
CTRL-008,Regulatory Traceability Control,ETP-RQ-0008,Validate that requirements and controls maintain traceability to regulatory and framework obligations.,Technology Risk Owner,Detective,Quarterly,RTM,Archer / GitHub,Traceability sample testing,FFIEC; OCC; FDIC; FRB; NIST; CIS; ISO,Active
CTRL-009,Architecture Principles Control,ETP-RQ-0009,Validate that architecture decisions reference approved principles where applicable.,Head of Enterprise Architecture,Detective,Quarterly,Principles register and ADR samples,GitHub / ServiceNow EA,Decision record inspection,TOGAF; BIAN; COBIT,Active
CTRL-010,Business Capability Mapping Control,ETP-RQ-0010,Validate that material technology changes map to business capabilities and business services.,Business Architecture Owner,Preventive,Per material change,Capability mapping record,ServiceNow EA/APM/CSDM,Sample ARB records against capability maps,BIAN; TOGAF; CSDM,Active
CTRL-011,Application Portfolio Record Control,ETP-RQ-0011,Validate that application portfolio records include owner lifecycle criticality risk and disposition fields.,Application Architecture Owner,Detective,Quarterly,Application portfolio report,ServiceNow APM,Field completeness testing,FFIEC AIO; COBIT; CSDM,Active
CTRL-012,Technology Lifecycle Classification Control,ETP-RQ-0012,Validate that technologies are classified by approved lifecycle state.,Technology Lifecycle Owner,Detective,Quarterly,Lifecycle register,ServiceNow APM/CMDB,Population review and exception testing,FFIEC AIO; COBIT; CIS,Active
CTRL-013,EOL/EOS Risk Control,ETP-RQ-0013,Validate that EOL/EOS technologies are tracked remediated or formally excepted.,Technology Lifecycle Owner,Detective,Monthly,EOL/EOS report,ServiceNow APM/CMDB,Aging and remediation review,FFIEC AIO; NIST CSF; CIS,Active
CTRL-014,Cloud Architecture Pattern Control,ETP-RQ-0014,Validate that cloud architectures use approved landing zone and security patterns.,Cloud Architecture Owner,Preventive,Per material cloud change,Cloud review evidence,ServiceNow EA / Azure Policy,Architecture review and policy compliance check,FFIEC AIO; NIST CSF; CIS; ISO,Active
CTRL-015,Infrastructure Architecture Control,ETP-RQ-0015,Validate that infrastructure architectures document hosting capacity resilience boundaries and support model.,Infrastructure Architecture Owner,Preventive,Per material infrastructure change,Infrastructure architecture artifacts,ServiceNow EA/CMDB,Design artifact inspection,FFIEC AIO; NIST 800-53; CIS,Active
CTRL-016,Network Architecture Control,ETP-RQ-0016,Validate that network architectures document segmentation routing ingress egress and resilience requirements.,Network Architecture Owner,Preventive,Per material network change,Network architecture artifacts,ServiceNow EA/CMDB,Diagram and control review,FFIEC AIO; NIST 800-53; CIS,Active
CTRL-017,Security Architecture Review Control,ETP-RQ-0017,Validate that high-risk and material technology changes receive security architecture review.,Security Architecture Owner,Preventive,Per material change,Security review record,Archer / ServiceNow IRM,Sample testing against change population,FFIEC; NIST CSF; ISO; CIS,Active
CTRL-018,IAM Architecture Control,ETP-RQ-0018,Validate that identity access authentication authorization and privileged access patterns are documented.,IAM Architecture Owner,Preventive,Per material system,Identity architecture evidence,ServiceNow / IAM Platform / Archer,Design review and IAM evidence inspection,NIST 800-53; FFIEC; CIS,Active
CTRL-019,Data Protection Architecture Control,ETP-RQ-0019,Validate that data classification protection encryption retention and privacy requirements are documented.,Data Architecture Owner,Preventive,Per material system,Data protection review,Data Catalog / Archer / ServiceNow,Data classification and control review,GLBA; SEC Reg S-P; NIST 800-53; ISO,Active
CTRL-020,API Governance Control,ETP-RQ-0020,Validate that APIs integrations and events follow ownership versioning security observability and reuse standards.,API / Integration Architecture Owner,Preventive,Per API/integration change,API catalog and review evidence,API Catalog / ServiceNow / GitHub,API sample review,FFIEC; NIST; COBIT; BIAN,Active
CTRL-021,DevSecOps Gate Control,ETP-RQ-0021,Validate that policy standards controls and evidence requirements are integrated into engineering lifecycle gates.,Engineering Governance Owner,Preventive,Per release / quarterly,Pipeline evidence,ADO / Jira / GitHub / Security Tools,Pipeline control inspection,NIST SSDF; NIST CSF; CIS; FFIEC,Active
CTRL-022,Architecture Evidence Pack Control,ETP-RQ-0022,Validate that material ARB decisions include required evidence pack artifacts.,Head of Enterprise Architecture,Detective,Per ARB submission,Evidence pack,ServiceNow EA / Archer / GitHub,Evidence pack sample review,FFIEC; OCC; COBIT; TOGAF,Active
CTRL-023,Exception and Waiver Control,ETP-RQ-0023,Validate that exceptions and waivers are documented approved time-bound monitored and remediated.,Technology Governance Owner,Detective,Monthly,Exception waiver register,ServiceNow / Archer,Exception aging and approval review,FFIEC Management; OCC; COBIT,Active
CTRL-024,Operational Resilience Architecture Control,ETP-RQ-0024,Validate that material solutions document availability recovery continuity dependencies and failover expectations.,Resilience Architecture Owner,Preventive,Per material change,Resilience assessment,ServiceNow / Archer / DR Tooling,Resilience review and sample testing,FRB Operational Resilience; FFIEC; NIST CSF,Active
CTRL-025,Backup and Recovery Control,ETP-RQ-0025,Validate that backup recovery retention and restoration evidence exists for material systems and data stores.,Infrastructure / Resilience Owner,Detective,Quarterly,Backup and restore evidence,Backup Platform / ServiceNow / Archer,Restore evidence inspection,FFIEC AIO; NIST 800-53; CIS,Active
CTRL-026,Observability and Logging Control,ETP-RQ-0026,Validate that observability logging alerting telemetry and support model requirements are implemented for material systems.,Operations Architecture Owner,Detective,Quarterly,Monitoring and logging evidence,ServiceNow / Observability Platform / SIEM,Monitoring coverage review,NIST CSF; FFIEC AIO; CIS,Active
CTRL-027,Third-Party Architecture Risk Control,ETP-RQ-0027,Validate that third-party products SaaS managed services and externally hosted technology receive architecture and risk review.,TPRM / EA Owner,Preventive,Per third-party engagement,Third-party architecture review,Archer / ServiceNow / TPRM Platform,TPRM record sample review,Interagency TPRM; FFIEC; OCC,Active
CTRL-028,Buy versus Build Decision Control,ETP-RQ-0028,Validate that buy versus build decisions evaluate strategic fit integration complexity risk cost controls and lifecycle impact.,Head of Enterprise Architecture,Detective,Per decision,Decision record,ServiceNow EA / GitHub,Decision record inspection,COBIT; TOGAF; FFIEC,Active
CTRL-029,AI and Emerging Technology Governance Control,ETP-RQ-0029,Validate that AI and emerging technology use cases follow governance risk security data privacy and model oversight requirements.,AI Governance / EA Owner,Preventive,Per AI/emerging tech use case,AI review record,AI Governance Platform / Archer / ServiceNow,AI governance record inspection,NIST AI RMF; Model Risk Guidance; FFIEC,Active
CTRL-030,CMDB and CSDM Alignment Control,ETP-RQ-0030,Validate that architecture intent application records services and configuration items align to approved CMDB and CSDM models.,EA / CMDB Owner,Detective,Quarterly,CMDB/CSDM relationship evidence,ServiceNow CMDB/CSDM,Relationship completeness test,ServiceNow CSDM; FFIEC AIO; COBIT,Active
CTRL-031,Architecture Workforce Enablement Control,ETP-RQ-0031,Validate that architecture roles skills communities and knowledge sharing mechanisms are maintained.,Head of Enterprise Architecture,Detective,Semiannual,Workforce plan and CoP artifacts,SharePoint / GitHub / LMS,Workforce artifact inspection,TOGAF; COBIT,Active
CTRL-032,Governance Metrics Reporting Control,ETP-RQ-0032,Validate that policy standards lifecycle exceptions and control-plane metrics are reported to accountable stakeholders.,Technology Governance Owner,Detective,Monthly,Metrics dashboard and governance reports,ServiceNow / Archer / Power BI,Dashboard and report inspection,FFIEC Management; OCC; COBIT; NIST CSF,Active