Requirement ID,Requirement Statement,Policy Domain,Owner,Criticality,Control Mapping,Evidence Source,Regulatory Mapping
ETP-RQ-0001,The Bank shall maintain an enterprise technology policy framework that governs technology strategy architecture standards requirements controls evidence and exceptions.,Governance,Head of Enterprise Architecture,Critical,CTRL-001,Policy framework repository,FFIEC; OCC Heightened Standards; COBIT
ETP-RQ-0002,The Bank shall maintain an Enterprise Architecture operating model with defined capabilities roles responsibilities and decision rights.,Governance,Head of Enterprise Architecture,Critical,CTRL-002,EA operating model,FFIEC Management; TOGAF; COBIT
ETP-RQ-0003,The Bank shall require Architecture Review Board review and decisioning before implementation of material technology change.,ARB,Head of Enterprise Architecture,Critical,CTRL-003,ARB decision records,FFIEC AIO; OCC Heightened Standards
ETP-RQ-0004,The Bank shall maintain an architecture repository for approved standards patterns principles decisions and evidence.,Architecture Repository,Head of Enterprise Architecture,High,CTRL-004,ServiceNow EA/APM and GitHub records,TOGAF; COBIT; FFIEC
ETP-RQ-0005,The Bank shall map material technology solutions to business capabilities services applications and technology services.,Business Architecture,Enterprise Architecture,High,CTRL-005,Capability and CSDM mappings,BIAN; TOGAF; ServiceNow CSDM
ETP-RQ-0006,The Bank shall maintain an application portfolio with lifecycle state ownership criticality business capability mapping and technical debt indicators.,Application Portfolio,Application Architecture,Critical,CTRL-006,Application inventory and lifecycle records,FFIEC; COBIT; NIST CSF
ETP-RQ-0007,The Bank shall govern technology lifecycle health including end-of-life end-of-support obsolescence remediation and exception handling.,Technology Lifecycle,Enterprise Architecture,Critical,CTRL-007,Technology lifecycle register,FFIEC; NIST CSF; CIS
ETP-RQ-0008,The Bank shall require cloud platform architecture to comply with approved landing zone security resilience data and cost management patterns.,Cloud Architecture,Cloud Architecture,Critical,CTRL-008,Cloud design and control evidence,NIST; CIS; FFIEC; ISO 27001
ETP-RQ-0009,The Bank shall require infrastructure and network architecture to support segmentation resilience scalability observability and recoverability requirements.,Infrastructure and Network,Infrastructure Architecture,Critical,CTRL-009,Infrastructure diagrams and network reviews,FFIEC AIO; NIST; CIS
ETP-RQ-0010,The Bank shall require secure-by-design architecture including threat modeling IAM encryption data protection and privacy-by-design for material changes.,Security Architecture,Security Architecture,Critical,CTRL-010,Security architecture review,NIST SP 800-53; NIST CSF; GLBA
ETP-RQ-0011,The Bank shall govern APIs and integrations as reusable products with defined ownership contracts security standards versioning and observability.,API and Integration,Integration Architecture,Critical,CTRL-011,API catalog and gateway policies,FFIEC; NIST; OWASP; COBIT
ETP-RQ-0012,The Bank shall require DevSecOps pipeline controls including secure code scanning dependency scanning secrets management testing and approval gates.,DevSecOps,Engineering / Security,Critical,CTRL-012,Pipeline evidence and release records,NIST; CIS; FFIEC
ETP-RQ-0013,The Bank shall require operational resilience architecture including dependency mapping recovery objectives failover design backup and continuity alignment.,Operational Resilience,Architecture / Operations,Critical,CTRL-013,Resilience assessment and DR evidence,FFIEC; Federal Reserve operational resilience; NIST
ETP-RQ-0014,The Bank shall require third-party technology architecture review before procurement implementation renewal or material expansion.,Third-Party Architecture,TPRM / EA,Critical,CTRL-014,Vendor architecture review and TPRM evidence,Interagency Third-Party Risk Guidance; FFIEC
ETP-RQ-0015,The Bank shall require AI and emerging technology use cases to complete architecture risk model risk data security and operational readiness review before production use.,AI and Emerging Technology,EA / AI Governance,Critical,CTRL-015,AI governance review and approval,NIST AI RMF; Model Risk Management; FFIEC
ETP-RQ-0016,The Bank shall maintain exception and waiver governance with defined approval authority compensating controls expiration and renewal review.,Exceptions and Waivers,Head of Enterprise Architecture,Critical,CTRL-016,Exception register and waiver approvals,OCC Heightened Standards; COBIT; FFIEC