Requirement ID,Requirement Name,Policy Domain,Standard Mapping,Requirement Statement,Owner,Evidence Source,System of Record,Regulatory / Framework Mapping,Criticality,Status
ETP-RQ-0001,Enterprise Technology Policy Authority,Governance,ETS-002,The Bank shall maintain an approved Enterprise Technology Policy that governs technology decisions standards procedures and evidence expectations.,Head of Enterprise Architecture,Approved policy and revision history,GitHub / SharePoint / ServiceNow,FFIEC Management; OCC Heightened Standards; COBIT,High,Active
ETP-RQ-0002,Architecture Review Board Gate,Governance,ETS-001,The Bank shall require ARB review before material technology change implementation.,Head of Enterprise Architecture,ARB decision record,ServiceNow EA/APM,FFIEC AIO; OCC Heightened Standards; TOGAF,High,Active
ETP-RQ-0003,Architecture Repository,Architecture Frameworks,ETS-001,The Bank shall maintain an authoritative architecture repository for standards patterns decisions and architecture artifacts.,Head of Enterprise Architecture,Repository inventory and object records,ServiceNow EA/APM / GitHub,TOGAF; ISO 42010; COBIT,High,Active
ETP-RQ-0004,Canonical Governance Object Schema,Control Plane,ETS-002,The Bank shall maintain a canonical object schema for policies standards requirements controls evidence exceptions and architecture objects.,Head of Enterprise Architecture,Schema file and object inventory,GitHub / ServiceNow / Archer,COBIT; NIST CSF; TOGAF,Medium,Active
ETP-RQ-0005,Master Document Register,Document Governance,ETS-002,The Bank shall maintain a Master Document Register for controlled technology policy and standard artifacts.,Technology Governance Owner,Master Document Register,GitHub / SharePoint,FFIEC Management; COBIT,High,Active
ETP-RQ-0006,Master Requirements Register,Requirements Governance,ETS-002,The Bank shall maintain a Master Requirements Register for all mandatory technology policy requirements.,Technology Governance Owner,Master Requirements Register,GitHub / ServiceNow,COBIT; NIST CSF,High,Active
ETP-RQ-0007,Master Control Register,Control Governance,ETS-002,The Bank shall maintain a Master Control Register mapping policy requirements to control objectives owners evidence and audit method.,Technology Risk Owner,Master Control Register,Archer / ServiceNow IRM,FFIEC Management; NIST 800-53; COBIT,High,Active
ETP-RQ-0008,Regulatory Traceability Matrix,Regulatory Traceability,ETS-002,The Bank shall maintain a Regulatory Traceability Matrix mapping requirements and controls to regulatory and framework obligations.,Technology Risk Owner,RTM and mapping evidence,Archer / GitHub,FFIEC; OCC; FDIC; FRB; NIST; CIS; ISO,High,Active
ETP-RQ-0009,Architecture Principles,Architecture Strategy,ETS-001,The Bank shall maintain architecture principles with categories principles patterns and practices to guide architecture decisions.,Head of Enterprise Architecture,Architecture principles register,GitHub / ServiceNow EA,TOGAF; BIAN; COBIT,Medium,Active
ETP-RQ-0010,Business Capability Mapping,Business Architecture,ETS-001,The Bank shall map material technology changes to business capabilities and business services.,Business Architecture Owner,Capability mapping record,ServiceNow EA/APM/CSDM,BIAN; TOGAF; ServiceNow CSDM,High,Active
ETP-RQ-0011,Application Portfolio Governance,Application Architecture,ETS-003,The Bank shall maintain application portfolio records including owner lifecycle state criticality risk and strategic disposition.,Application Architecture Owner,Application portfolio records,ServiceNow APM,FFIEC AIO; COBIT; CSDM,High,Active
ETP-RQ-0012,Technology Lifecycle Governance,Technology Lifecycle,ETS-003,The Bank shall classify technologies by lifecycle state and manage adoption tolerance containment sunset retirement and prohibition decisions.,Technology Lifecycle Owner,Lifecycle register,ServiceNow APM/CMDB,FFIEC AIO; COBIT; CIS,High,Active
ETP-RQ-0013,EOL and EOS Management,Technology Lifecycle,ETS-003,The Bank shall identify track and remediate technologies approaching end-of-life or end-of-support.,Technology Lifecycle Owner,EOL/EOS reporting,ServiceNow APM/CMDB,FFIEC AIO; NIST CSF; CIS,High,Active
ETP-RQ-0014,Cloud Architecture Governance,Cloud Architecture,ETS-001,The Bank shall require cloud architectures to follow approved landing zone identity network data resilience logging and cost governance patterns.,Cloud Architecture Owner,Cloud architecture review evidence,ServiceNow EA / Azure Policy,FFIEC AIO; NIST CSF; CIS; ISO 27001,High,Active
ETP-RQ-0015,Infrastructure Architecture Governance,Infrastructure Architecture,ETS-001,The Bank shall require infrastructure architectures to document hosting topology capacity resilience security boundaries and operational support model.,Infrastructure Architecture Owner,Infrastructure architecture artifacts,ServiceNow EA/CMDB,FFIEC AIO; NIST 800-53; CIS,High,Active
ETP-RQ-0016,Network Architecture Governance,Network Architecture,ETS-001,The Bank shall require network architectures to document segmentation routing security controls ingress egress and resilience requirements.,Network Architecture Owner,Network diagrams and firewall/routing review,ServiceNow EA/CMDB,FFIEC AIO; NIST 800-53; CIS,High,Active
ETP-RQ-0017,Security Architecture Review,Security Architecture,ETS-001,The Bank shall require security architecture review for material technology changes and high-risk patterns.,Security Architecture Owner,Security review record,Archer / ServiceNow IRM,FFIEC; NIST CSF; ISO 27001; CIS,High,Active
ETP-RQ-0018,Identity and Access Architecture,Security Architecture,ETS-001,The Bank shall require identity access authentication authorization and privileged access patterns to be defined for material systems.,IAM Architecture Owner,IAM architecture evidence,ServiceNow / IAM Platform / Archer,NIST 800-53; FFIEC; CIS,High,Active
ETP-RQ-0019,Data Classification and Protection,Data Architecture,ETS-001,The Bank shall require data classification protection encryption retention and privacy controls to be identified for material solutions.,Data Architecture Owner,Data classification and protection review,Data Catalog / Archer / ServiceNow,GLBA; SEC Reg S-P; NIST 800-53; ISO,High,Active
ETP-RQ-0020,API and Integration Governance,API Architecture,ETS-001,The Bank shall require APIs integrations and events to follow approved standards for ownership versioning security observability and reuse.,API / Integration Architecture Owner,API review and catalog entry,API Catalog / ServiceNow / GitHub,FFIEC; NIST; COBIT; BIAN,High,Active
ETP-RQ-0021,Secure Engineering and DevSecOps,Software Engineering,ETS-002,The Bank shall integrate policy standards controls and evidence requirements into software engineering and DevSecOps lifecycle gates.,Engineering Governance Owner,Pipeline gate evidence,ADO / Jira / GitHub / Security Tools,NIST SSDF; NIST CSF; CIS; FFIEC,High,Active
ETP-RQ-0022,Architecture Evidence Pack,ARB Evidence,ETS-001,The Bank shall require an architecture evidence pack for material ARB decisions.,Head of Enterprise Architecture,Evidence pack,ServiceNow EA / Archer / GitHub,FFIEC; OCC; COBIT; TOGAF,High,Active
ETP-RQ-0023,Exception and Waiver Governance,Governance,ETS-002,The Bank shall document approve time-bound and monitor all exceptions and waivers to technology policy standards or controls.,Technology Governance Owner,Exception waiver register,ServiceNow / Archer,FFIEC Management; OCC; COBIT,High,Active
ETP-RQ-0024,Operational Resilience Architecture,Resilience,ETS-001,The Bank shall require material solutions to document availability recovery continuity dependency and failover expectations.,Resilience Architecture Owner,Resilience assessment,ServiceNow / Archer / DR Tooling,FRB Operational Resilience; FFIEC; NIST CSF,High,Active
ETP-RQ-0025,Backup and Recovery Architecture,Resilience,ETS-001,The Bank shall require backup recovery retention and restoration evidence for material systems and data stores.,Infrastructure / Resilience Owner,Backup and restore evidence,Backup Platform / ServiceNow / Archer,FFIEC AIO; NIST 800-53; CIS,High,Active
ETP-RQ-0026,Observability and Logging Architecture,Operations Architecture,ETS-001,The Bank shall require observability logging alerting telemetry and support model requirements for material systems.,Operations Architecture Owner,Monitoring and logging evidence,ServiceNow / Observability Platform / SIEM,NIST CSF; FFIEC AIO; CIS,High,Active
ETP-RQ-0027,Third-Party Technology Architecture,Third-Party Risk,ETS-001,The Bank shall require architecture and risk review for third-party products SaaS managed services and externally hosted technology.,TPRM / EA Owner,Third-party architecture review,Archer / ServiceNow / TPRM Platform,Interagency TPRM; FFIEC; OCC,High,Active
ETP-RQ-0028,Buy versus Build Governance,Architecture Strategy,ETS-003,The Bank shall require buy versus build decisions to evaluate strategic fit integration complexity risk cost control obligations and lifecycle impact.,Head of Enterprise Architecture,Decision record,ServiceNow EA / GitHub,COBIT; TOGAF; FFIEC,Medium,Active
ETP-RQ-0029,AI and Emerging Technology Governance,Innovation,ETS-001,The Bank shall require AI and emerging technology use cases to follow approved governance risk security data privacy and model oversight requirements.,AI Governance / EA Owner,AI review record,AI Governance Platform / Archer / ServiceNow,NIST AI RMF; Model Risk Guidance; FFIEC,High,Active
ETP-RQ-0030,CMDB and CSDM Alignment,Configuration and Asset Alignment,ETS-003,The Bank shall align architecture intent application records technology services and configuration items to the approved CMDB and CSDM model.,EA / CMDB Owner,CMDB/CSDM relationship evidence,ServiceNow CMDB/CSDM,ServiceNow CSDM; FFIEC AIO; COBIT,High,Active
ETP-RQ-0031,Architecture Workforce Enablement,Architecture Workforce,ETS-001,The Bank shall maintain architecture roles skills communities of practice and knowledge sharing mechanisms required to operate the framework.,Head of Enterprise Architecture,Workforce plan and CoP artifacts,SharePoint / GitHub / LMS,TOGAF; COBIT,Medium,Active
ETP-RQ-0032,Governance Metrics and Reporting,Governance Reporting,ETS-002,The Bank shall report technology policy architecture standards lifecycle exception and control-plane metrics to accountable governance stakeholders.,Technology Governance Owner,Metrics dashboard and governance reports,ServiceNow / Archer / Power BI,FFIEC Management; OCC; COBIT; NIST CSF,High,Active