RTM_ID,Requirement_ID,Control_ID,Requirement_Summary,Control_Summary,Regulatory_Framework_Mapping,Evidence_Object,System_of_Record,Owner,Review_Cadence,Status
RTM-001,ETP-RQ-0001,CTRL-001,Enterprise Technology Policy authority,Validate approved policy exists and is current,FFIEC Management; OCC Heightened Standards; COBIT APO; ISO 27001,EVD-001,GitHub; ServiceNow IRM; Archer,Head of Enterprise Architecture,Annual,Active
RTM-002,ETP-RQ-0002,CTRL-002,ARB gate before material change,Validate material changes have ARB decision before implementation,FFIEC AIO; OCC Heightened Standards; NIST CSF GV; COBIT BAI,EVD-002,ServiceNow EA/APM; ADO/Jira; GitHub,Architecture Review Board,Monthly,Active
RTM-003,ETP-RQ-0003,CTRL-003,Architecture repository maintained,Validate architecture records exist for governed assets,FFIEC AIO; TOGAF; ISO 42010; COBIT APO,EVD-003,ServiceNow EA/APM; GitHub,Head of Enterprise Architecture,Quarterly,Active
RTM-004,ETP-RQ-0004,CTRL-004,Canonical governance object schema,Validate governed objects use required metadata and IDs,COBIT APO; TOGAF; ISO 42010; NIST CSF GV,EVD-004,GitHub; ServiceNow; Archer,Enterprise Architecture,Quarterly,Active
RTM-005,ETP-RQ-0005,CTRL-005,Master Document Register maintained,Validate controlled documents are inventoried and versioned,FFIEC Management; OCC Heightened Standards; COBIT MEA,EVD-005,GitHub; SharePoint; ServiceNow IRM,Technology Governance,Quarterly,Active
RTM-006,ETP-RQ-0006,CTRL-006,Master Requirements Register maintained,Validate mandatory requirements are inventoried and mapped,FFIEC Management; NIST CSF GV; COBIT APO,EVD-006,GitHub; Archer; ServiceNow IRM,Technology Governance,Quarterly,Active
RTM-007,ETP-RQ-0007,CTRL-007,Master Control Register maintained,Validate controls are mapped to requirements and evidence,FFIEC Management; NIST 800-53; CIS v8; COBIT MEA,EVD-007,Archer; ServiceNow IRM; GitHub,Technology Risk,Quarterly,Active
RTM-008,ETP-RQ-0008,CTRL-008,Regulatory traceability maintained,Validate requirements and controls map to obligations,FFIEC; OCC; FDIC; Federal Reserve; GLBA; SEC Reg S-P; NYDFS; NIST; CIS,EVD-008,GitHub; Archer; ServiceNow IRM,Compliance; Technology Risk,Quarterly,Active
RTM-009,ETP-RQ-0009,CTRL-009,Architecture principles enforced,Validate architecture decisions reference principles,TOGAF; COBIT APO; NIST CSF GV,EVD-009,GitHub; ServiceNow EA/APM,Enterprise Architecture,Quarterly,Active
RTM-010,ETP-RQ-0010,CTRL-010,Business capability mapping,Validate applications and services map to capabilities,BIAN; TOGAF; ServiceNow CSDM,EVD-010,ServiceNow EA/APM; ServiceNow CSDM,Enterprise Architecture,Quarterly,Active
RTM-011,ETP-RQ-0011,CTRL-011,Application portfolio governance,Validate applications have owner lifecycle risk and capability mapping,FFIEC AIO; COBIT BAI; ServiceNow APM,EVD-011,ServiceNow APM; GitHub,Application Architecture,Quarterly,Active
RTM-012,ETP-RQ-0012,CTRL-012,Technology lifecycle governance,Validate technology lifecycle status EOL/EOS and remediation,FFIEC AIO; NIST CSF ID; CIS v8; COBIT BAI,EVD-012,ServiceNow APM/CMDB; Archer,Technology Lifecycle Owner,Monthly,Active
RTM-013,ETP-RQ-0013,CTRL-013,Cloud architecture guardrails,Validate cloud designs use approved landing zone and controls,FFIEC AIO; NIST CSF PR; CIS; ISO 27001,EVD-013,ServiceNow EA/APM; Cloud Platform Tooling,Cloud Architecture,Monthly,Active
RTM-014,ETP-RQ-0014,CTRL-014,Infrastructure architecture standards,Validate infrastructure patterns and resilience requirements,FFIEC AIO; NIST CSF PR/RC; COBIT DSS,EVD-014,ServiceNow CMDB; ServiceNow EA/APM,Infrastructure Architecture,Quarterly,Active
RTM-015,ETP-RQ-0015,CTRL-015,Network architecture standards,Validate segmentation routing and connectivity patterns,FFIEC AIO; NIST 800-53 SC; CIS v8,EVD-015,ServiceNow CMDB; Network Tooling,Network Architecture,Quarterly,Active
RTM-016,ETP-RQ-0016,CTRL-016,Security architecture review,Validate material changes receive security architecture review,NIST CSF; NIST 800-53; FFIEC Cybersecurity; ISO 27001,EVD-016,Archer; ServiceNow IRM; ServiceNow EA/APM,Security Architecture,Monthly,Active
RTM-017,ETP-RQ-0017,CTRL-017,IAM architecture review,Validate identity access and privileged access design alignment,FFIEC; NIST 800-53 AC/IA; CIS v8,EVD-017,ServiceNow IRM; IAM Platform; Archer,IAM Architecture,Quarterly,Active
RTM-018,ETP-RQ-0018,CTRL-018,Data classification and protection,Validate data classification and protection controls are documented,GLBA; SEC Reg S-P; NYDFS 500; NIST 800-53; FFIEC,EVD-018,Data Catalog; Archer; ServiceNow IRM,Data Architecture; Data Governance,Quarterly,Active
RTM-019,ETP-RQ-0019,CTRL-019,API and integration governance,Validate APIs are registered owned secured and lifecycle managed,FFIEC AIO; NIST CSF PR; COBIT BAI; BIAN,EVD-019,API Gateway; Developer Portal; ServiceNow,Integration Architecture,Monthly,Active
RTM-020,ETP-RQ-0020,CTRL-020,DevSecOps architecture guardrails,Validate secure pipeline evidence and tollgates exist,NIST SSDF; NIST CSF PR; CIS v8; COBIT BAI,EVD-020,ADO/Jira; GitHub; CI/CD Platform,Product Engineering; Security Architecture,Monthly,Active
RTM-021,ETP-RQ-0021,CTRL-021,Architecture evidence packs,Validate ARB submissions include required evidence,FFIEC Management; OCC Heightened Standards; COBIT MEA,EVD-021,ServiceNow EA/APM; GitHub,Architecture Review Board,Monthly,Active
RTM-022,ETP-RQ-0022,CTRL-022,Exception and waiver governance,Validate exceptions are approved time-bound and remediated,FFIEC Management; OCC Heightened Standards; NIST CSF GV,EVD-022,ServiceNow IRM; Archer; GitHub,Technology Governance,Monthly,Active
RTM-023,ETP-RQ-0023,CTRL-023,Operational resilience architecture,Validate critical services have resilience architecture and recovery mapping,Federal Reserve SR 20-24; FFIEC AIO; NIST CSF RC,EVD-023,ServiceNow CSDM; Archer; BCP/DR Tooling,Operational Resilience,Quarterly,Active
RTM-024,ETP-RQ-0024,CTRL-024,Backup and recovery architecture,Validate backup recovery and restore testing evidence exists,FFIEC AIO; NIST CSF RC; CIS v8,EVD-024,Backup Platform; ServiceNow; Archer,Infrastructure Operations,Quarterly,Active
RTM-025,ETP-RQ-0025,CTRL-025,Observability and logging,Validate telemetry logging monitoring and alerting architecture,NIST CSF DE; FFIEC AIO; CIS v8,EVD-025,Observability Platform; SIEM; ServiceNow,Operations; Security Operations,Quarterly,Active
RTM-026,ETP-RQ-0026,CTRL-026,Third-party technology architecture,Validate vendor/SaaS architecture risk review for material technology,Interagency TPRM; FFIEC; OCC; NIST CSF GV,EVD-026,Archer; ServiceNow IRM; TPRM Platform,Third Party Risk; EA,Monthly,Active
RTM-027,ETP-RQ-0027,CTRL-027,Buy versus build governance,Validate buy/build decisions include capability risk and cost analysis,COBIT BAI; TOGAF; FFIEC Management,EVD-027,ServiceNow EA/APM; ADO/Jira; GitHub,Enterprise Architecture,Quarterly,Active
RTM-028,ETP-RQ-0028,CTRL-028,AI and emerging technology governance,Validate AI/emerging technology follows governance intake,NIST AI RMF; OCC model risk; FFIEC; NIST CSF GV,EVD-028,AI Governance Platform; Archer; ServiceNow IRM,AI Governance; EA,Monthly,Active
RTM-029,ETP-RQ-0029,CTRL-029,CMDB and CSDM alignment,Validate architecture objects map to CSDM/CMDB relationships,ServiceNow CSDM; FFIEC AIO; COBIT DSS,EVD-029,ServiceNow CSDM/CMDB,EA; Service Management,Monthly,Active
RTM-030,ETP-RQ-0030,CTRL-030,Architecture workforce enablement,Validate roles skills and community practice are maintained,TOGAF; COBIT APO; FFIEC Management,EVD-030,Learning Platform; GitHub; ServiceNow,Head of Enterprise Architecture,Semiannual,Active
RTM-031,ETP-RQ-0031,CTRL-031,Governance metrics reporting,Validate governance metrics are produced and reviewed,COBIT MEA; OCC Heightened Standards; FFIEC Management,EVD-031,Dashboard Platform; GitHub; ServiceNow,Technology Governance,Monthly,Active
RTM-032,ETP-RQ-0032,CTRL-032,Release and publication governance,Validate release package and publication checklist are complete,FFIEC Management; COBIT MEA; ISO 27001,EVD-032,GitHub; SharePoint; ServiceNow IRM,Technology Governance,Release-Based,Active
